oid,did,intensity
596,560,17
501,684,17
531,534,152
471,649,13
680,774,30
684,475,2
709,527,9
740,705,2
676,678,54
709,500,8
500,616,4
709,739,54
652,596,21
651,707,51
364,276,2
276,380,1
380,374,61
375,431,19
430,668,6
668,459,43
459,425,51
364,368,5
338,547,3
332,395,1
337,372,6
373,279,8
278,306,6
276,335,10
366,369,3
369,285,2
737,707,48
769,646,12
646,589,28
590,682,39
682,651,112
681,501,53
501,591,118
593,774,9
774,531,21
531,530,84
529,613,8
674,615,15
615,675,4
647,798,18
608,708,11
709,680,72
803,797,13
797,560,14
561,459,16
596,624,4
564,503,10
531,759,11
759,787,23
787,459,11
530,379,11
379,439,41
499,460,24
381,440,17
471,382,44
381,501,33
501,595,25
651,498,39
528,733,19
733,698,36
766,825,14
825,710,3
706,429,8
459,670,7
670,353,1
744,447,1
473,347,3
406,469,12
559,651,58
651,681,195
431,822,3
583,585,8
586,468,6
464,401,11
576,106,6
166,316,15
316,523,2
494,459,53
488,344,32
344,347,13
348,733,3
733,759,48
759,763,33
823,464,3
494,707,7
737,675,14
675,787,1
787,821,10
827,823,8
763,822,27
763,668,8
817,787,12
787,730,8
729,609,18
609,679,1
738,710,62
710,411,4
442,441,59
441,533,19
532,530,25
530,502,48
404,549,3
851,791,53
760,729,115
729,642,44
344,638,1
612,582,112
582,552,109
612,671,155
671,375,2
405,315,12
345,400,9
430,607,3
758,827,15
827,794,55
795,739,8
739,797,16
797,801,19
802,317,1
379,410,28
411,351,21
351,350,23
472,473,110
618,588,62
648,679,63
561,567,10
593,833,3
406,731,4
551,669,4
670,497,5
528,715,3
648,617,26
617,589,44
528,319,10
319,289,16
286,349,6
348,284,6
342,341,7
710,589,30
589,436,8
436,233,1
737,498,6
499,652,25
620,344,10
490,584,11
584,550,11
550,669,4
699,759,36
573,513,3
673,705,23
552,668,21
668,488,18
488,467,3
467,435,36
435,668,2
497,379,19
380,498,124
497,467,44
467,591,26
561,593,46
561,531,159
531,591,217
561,710,26
802,803,170
681,707,45
646,679,16
648,705,22
410,472,14
469,466,37
466,497,50
497,528,69
704,528,10
474,503,41
473,348,5
475,472,35
474,506,16
477,471,5
475,443,30
415,502,2
418,501,1
445,417,2
423,368,5
367,366,63
366,368,17
338,334,3
334,336,5
366,396,16
366,483,1
483,454,39
454,485,55
366,280,2
339,345,3
343,302,2
302,463,2
432,435,28
435,138,2
315,375,21
404,705,4
642,584,27
583,552,53
483,512,2
512,453,2
518,519,24
489,670,7
671,606,5
595,411,4
411,333,1
442,344,16
284,459,17
459,375,49
436,414,4
413,562,4
801,642,3
642,638,6
638,485,7
608,700,29
760,732,53
702,647,7
647,591,25
591,592,168
682,501,35
732,523,48
523,561,29
561,619,65
619,620,144
620,621,52
740,706,7
706,698,10
671,730,33
673,584,22
583,792,1
620,536,8
383,413,32
413,614,1
523,547,24
547,575,26
640,671,67
641,527,9
588,591,53
703,671,28
701,459,19
772,773,116
773,803,140
832,649,6
649,592,11
592,460,7
460,461,56
461,822,3
546,608,22
501,471,165
672,759,14
759,851,8
822,701,16
672,459,41
648,651,48
738,832,32
832,802,118
617,650,13
650,381,11
411,531,25
531,502,148
502,345,14
438,371,3
372,639,3
639,735,4
618,590,86
590,500,60
797,706,57
711,534,6
535,626,4
772,678,11
738,798,114
738,858,3
827,462,4
462,522,52
552,435,13
405,403,29
433,521,20
521,344,36
487,306,5
367,462,4
523,709,18
709,647,21
618,405,4
463,698,4
698,576,10
577,549,5
580,518,24
518,428,24
816,498,3
831,710,13
770,674,5
675,592,3
562,683,1
683,560,5
620,460,15
521,382,7
592,588,24
791,790,110
789,759,28
773,649,13
608,528,7
528,374,93
283,338,3
338,459,24
696,518,1
481,559,2
528,467,37
468,566,8
565,527,3
496,796,1
795,793,26
734,516,5
516,614,1
614,642,22
642,514,1
514,556,1
586,676,7
676,646,41
616,791,11
501,431,14
522,316,17
709,567,2
471,561,57
561,532,63
591,614,10
619,532,28
798,592,8
592,387,2
494,582,31
552,430,16
429,403,12
372,402,56
402,373,44
373,345,43
435,461,16
459,433,29
461,773,2
773,561,20
531,462,14
822,820,8
521,456,3
519,580,6
